name,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"China, P.R.: Mainland",CHN,10,24,36,50,60,84,104,128,158,176,204,224,256,288,318,342,374,408,430,466,514,568,616,648,684,740,800,836,882,930,972,998,1042,1110,1176,1238,1298,1350,1390,1416,1438,1462,1476
Colombia,COL,2,6,10,12,14,14,24,30,34,36,44,52,52,60,66,70,76,78,82,94,100,112,122,130,134,142,144,152,158,164,176,182,188,190,200,208,212,226,230,242,254,276,304
"Comoros, Union of the",COM,0,2,2,4,4,6,6,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,16,16,18,18,18,18,18,22,22,22,22
"Congo, Dem. Rep. of the",COD,0,0,0,2,2,2,2,2,2,4,6,6,6,6,8,8,8,10,10,12,12,18,20,28,28,30,38,40,44,48,56,60,62,62,66,74,78,82,84,90,102,102,112
"Congo, Rep. of",COG,0,0,0,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,6,8,8,8,10,10,10,12,14,16,16,16,16,16,20,20,20,20,20,20,20,24,28,30,32
Cook Islands,COK,0,2,2,2,2,2,2,4,4,4,6,6,6,6,6,6,6,8,8,8,8,10,10,10,10,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14
Costa Rica,CRI,2,2,2,2,2,2,2,2,6,6,6,8,10,12,16,18,24,24,28,30,32,34,38,40,44,50,50,54,62,62,66,68,70,70,72,74,76,78,82,82,84,86,88
Côte d'Ivoire,CIV,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,8,10,12,16,16,16,16,20,22,24,26,28,30,32,32,34
"Croatia, Rep. of",HRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8,10,10,16,16,22,24,28,28,28,34,34,40,40,44,46,46,50,52,54,54,54,56
Cuba,CUB,2,4,6,8,8,12,16,18,24,24,28,28,30,38,42,48,54,56,60,64,68,70,76,78,84,88,92,98,108,108,108,108,114,116,116,120,122,124,128,130,134,138,144
Cyprus,CYP,0,0,0,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,12,12,12,14,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20
Czech Rep.,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,8,8,14,16,16,22,26,28,30,34,42,42,46,48,48,48,48,50,52,52,54,60,64
Denmark,DNK,2,4,4,6,6,8,8,8,8,8,14,14,16,16,16,16,16,16,16,18,18,18,20,20,20,22,22,24,24,24,26,26,26,30,30,30,30,30,30,30,30,30,32
Djibouti,DJI,2,4,4,6,6,6,6,6,8,10,10,10,10,12,14,16,18,18,18,20,20,20,20,20,22,24,24,26,28,28,30,30,30,30,30,30,30,30,32,34,36,36,38
Dominica,DMA,2,2,2,2,4,4,4,4,4,6,6,6,6,6,6,10,10,10,10,12,12,12,12,12,12,12,12,14,14,14,14,16,16,16,16,18,18,20,20,20,20,20,20
Dominican Rep.,DOM,2,4,4,6,6,8,10,12,14,16,16,18,18,22,22,26,30,30,32,32,32,34,36,42,50,56,56,66,72,76,82,88,96,98,100,106,112,118,122,122,126,130,136
Ecuador,ECU,0,0,2,6,6,8,8,12,12,14,14,14,16,22,24,24,24,30,30,30,36,40,44,46,46,46,48,48,50,54,58,62,66,74,74,76,80,80,80,84,86,90,100
"Egypt, Arab Rep. of",EGY,0,0,0,0,0,0,0,2,2,2,2,4,4,4,6,10,14,18,18,18,20,20,24,24,26,26,26,26,26,26,32,32,32,32,32,38,40,40,40,40,42,44,44
El Salvador,SLV,0,0,4,4,4,4,4,4,8,10,10,10,12,14,16,18,20,22,26,28,32,36,40,40,40,48,50,54,58,62,68,70,70,70,72,76,76,78,82,82,90,92,96
"Eritrea, The State of",ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,6,6,6,6,8,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"Estonia, Rep. of",EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8
"Eswatini, Kingdom of",SWZ,0,2,2,2,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,10,12,12,12,12,14,16,20,22,22,22,22,22,22,24,24,26,26,26,28,28,30,32
"Ethiopia, The Federal Dem. Rep. of",ETH,0,2,2,4,4,8,8,10,14,16,18,18,18,22,26,28,32,38,40,54,62,68,70,74,74,84,98,102,110,112,118,122,122,124,124,128,132,132,136,140,148,152,156
"Fiji, Rep. of",FJI,2,4,4,10,10,16,20,22,22,24,26,26,28,30,30,30,30,32,34,36,38,40,40,42,46,46,50,58,60,64,66,66,72,72,72,74,78,78,82,84,90,92,94
Finland,FIN,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
France,FRA,2,4,16,32,42,48,50,54,56,60,80,86,92,98,104,106,112,118,122,138,152,166,176,188,190,200,206,212,220,228,236,240,242,248,262,268,270,276,290,308,322,340,352
French Polynesia,PYF,0,0,0,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,14,14,14,14,14,14
Gabon,GAB,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,8,8,10,10,10,10,10,10,10,10,10,10,10
"Gambia, The",GMB,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,6,6,8,10,12,14,14,14,16,20,24,28,28,30,32,32,34,34,36,36,38,38,40,42
